"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
184;4;"—";159;"64 44 49";2;"На рассмотрении";2151308;"16.07.2026 в 10:57"
185;3;"—";158;"64 43 49";2;"Участвуете в конкурсе";1259953;"29.06.2026 в 21:42"
186;2;"—";158;"58 44 54";2;"Участвуете в конкурсе";1460286;"02.07.2026 в 10:28"
187;1;"—";157;"52 54 49";2;"Участвуете в конкурсе";1195225;"29.06.2026 в 21:47"
188;3;"—";156;"58 54 42";2;"Участвуете в конкурсе";1375397;"09.07.2026 в 17:47"
189;5;"—";156;"64 44 46";2;"Участвуете в конкурсе";1558928;"03.07.2026 в 17:42"
190;3;"—";155;"64 43 48";0;"Участвуете в конкурсе";1119167;"29.06.2026 в 21:46"
191;2;"Бумажное";155;"40 54 61";0;"Участвуете в конкурсе";1137435;"26.06.2026 в 09:25"
192;4;"—";155;"58 53 42";2;"Участвуете в конкурсе";1365445;"30.06.2026 в 23:30"
193;4;"—";154;"70 27 55";2;"На рассмотрении";1183643;"07.07.2026 в 11:41"
194;3;"—";153;"58 46 49";0;"Участвуете в конкурсе";1220544;"29.06.2026 в 08:06"
195;5;"—";153;"46 54 51";2;"На рассмотрении";2204536;"17.07.2026 в 13:15"
196;2;"—";152;"46 46 58";2;"На рассмотрении";2172597;"16.07.2026 в 17:24"
197;5;"—";150;"46 62 40";2;"Участвуете в конкурсе";1435380;"07.07.2026 в 13:57"
198;3;"—";150;"52 51 45";2;"Участвуете в конкурсе";1591480;"04.07.2026 в 09:08"
199;3;"Электронное";147;"40 54 51";2;"Участвуете в конкурсе";1278564;"30.06.2026 в 20:16"
200;3;"Бумажное";146;"46 46 52";2;"Участвуете в конкурсе";1590046;"04.07.2026 в 08:22"
201;2;"—";138;"52 41 43";2;"Участвуете в конкурсе";2115795;"15.07.2026 в 12:06"
202;1;"Бумажное";131;"64 20 47";0;"На рассмотрении";1450094;"02.07.2026 в 07:27"
203;2;"—";124;"40 33 46";5;"На рассмотрении";1200785;"28.06.2026 в 16:43"
204;5;"—";111;"44 57";10;"На рассмотрении";1578759;"03.07.2026 в 19:51"
205;4;"—";108;"34 32 40";2;"На рассмотрении";1505430;"05.07.2026 в 18:30"
206;5;"Бумажное";106;"54 52";0;"На рассмотрении";1475537;"02.07.2026 в 12:49"
207;2;"—";71;"71";0;"На рассмотрении";1721341;"06.07.2026 в 19:40"
208;5;"Бумажное";55;"55";0;"На рассмотрении";2021357;"13.07.2026 в 11:34"
209;5;"—";0;"";0;"Конкурсная группа исключена";1373874;"01.07.2026 в 09:53"
210;2;"—";0;"";0;"На рассмотрении";1379817;"01.07.2026 в 10:12"
211;3;"—";0;"";0;"На рассмотрении";1386642;"01.07.2026 в 11:29"
212;3;"Бумажное";0;"";0;"На рассмотрении";1468823;"02.07.2026 в 11:48"
213;4;"—";0;"";0;"На рассмотрении";1492661;"07.07.2026 в 14:30"
214;1;"—";0;"";0;"На рассмотрении";1870848;"09.07.2026 в 16:54"
215;3;"Электронное";0;"";0;"Конкурсная группа исключена";2057748;"14.07.2026 в 05:25"
216;2;"Бумажное";0;"";0;"На рассмотрении";2119221;"17.07.2026 в 07:35"
217;3;"Бумажное";0;"";0;"На рассмотрении";2232001;"18.07.2026 в 07:20"
218;3;"—";0;"";0;"Передано в вуз";2246942;"18.07.2026 в 16:16"
